CustomerID,Product,Quantity,Price,TotalAmount
1202,Laptop,3,3593,10779
1358,Mobile,3,2302,6906
1112,Shoes,9,2917,26253
1499,TV,9,2887,25983
1473,Mobile,10,3776,37760
1206,TV,7,2449,17143
1492,Laptop,4,2903,11612
1407,Laptop,7,2903,20321
1470,TV,7,2087,14609
1454,Shoes,1,666,666
1004,Laptop,1,540,540
1311,TV,9,3890,35010
1326,Mobile,7,2306,16142
1098,Mobile,1,2724,2724
1391,Laptop,4,660,2640
1007,Mobile,4,1624,6496
1183,Shoes,10,2622,26220
1299,Laptop,5,2033,10165
1466,TV,4,1511,6044
1445,Laptop,8,4413,35304
1396,Shoes,9,4037,36333
1483,Mobile,4,2449,9796
1307,Shoes,9,4684,42156
1456,Laptop,3,865,2595
1146,TV,1,4227,4227
1281,Mobile,3,3471,10413
1258,Mobile,3,642,1926
1435,TV,9,1787,16083
1324,TV,5,3674,18370
1068,Mobile,6,2465,14790
1436,Laptop,7,1769,12383
1048,Mobile,10,1064,10640
1288,Mobile,5,4273,21365
1341,Mobile,8,2857,22856
1347,TV,6,2559,15354
1167,Mobile,6,1314,7884
1377,Mobile,10,507,5070
1272,Laptop,5,1674,8370
1459,Mobile,2,3993,7986
1116,TV,1,2517,2517
1450,Laptop,9,3849,34641
1454,TV,8,2573,20584
1093,Mobile,7,1483,10381
1301,Mobile,1,4442,4442
1158,Mobile,4,3637,14548
1158,Mobile,8,2401,19208
1221,Laptop,5,3381,16905
1087,TV,6,1740,10440
1095,Laptop,7,3980,27860
1353,Shoes,2,4086,8172
1223,Shoes,7,2945,20615
1413,Mobile,1,1721,1721
1220,Shoes,2,1087,2174
1251,TV,4,3219,12876
1031,Mobile,3,1848,5544
1182,Laptop,6,2534,15204
1425,Laptop,7,589,4123
1489,Mobile,3,2791,8373
1297,Mobile,1,865,865
1408,Laptop,6,4044,24264
1171,TV,5,3005,15025
1007,TV,4,2954,11816
1191,Laptop,4,1205,4820
1449,Mobile,6,2475,14850
1393,Laptop,7,2058,14406
1486,Laptop,4,4996,19984
1148,Mobile,10,782,7820
1398,TV,5,1863,9315
1363,Mobile,3,1820,5460
1493,TV,10,4011,40110
1334,Mobile,8,4210,33680
1088,Laptop,8,796,6368
1387,Shoes,1,2941,2941
1366,Mobile,9,1777,15993
1420,Shoes,1,1405,1405
1371,TV,7,4377,30639
1371,Laptop,6,4915,29490
1411,Laptop,3,2718,8154
1430,TV,5,2413,12065
1500,Shoes,7,4285,29995
1443,Mobile,7,757,5299
1430,Shoes,5,3528,17640
1254,TV,9,3625,32625
1453,Mobile,9,2215,19935
1047,Shoes,7,4308,30156
1439,Mobile,6,708,4248
1431,Laptop,5,2620,13100
1196,Mobile,2,4750,9500
1012,Laptop,2,4537,9074
1435,Shoes,5,1889,9445
1121,Mobile,8,2476,19808
1016,Mobile,7,2452,17164
1440,Laptop,9,2926,26334
1406,TV,7,3772,26404
1466,Laptop,3,3738,11214
1437,Mobile,2,1076,2152
1131,Mobile,2,1174,2348
1133,Laptop,4,1878,7512
1044,Shoes,10,4581,45810
1341,Mobile,4,1446,5784
1156,Laptop,1,1573,1573
1436,Laptop,2,4512,9024
1245,TV,6,4289,25734
1281,Mobile,1,4075,4075
1042,Laptop,9,3983,35847
1143,Shoes,5,4474,22370
1185,Laptop,3,4154,12462
1298,TV,6,4632,27792
1332,Shoes,5,4661,23305
1421,TV,3,4776,14328
1154,Mobile,5,644,3220
1490,Mobile,6,2522,15132
1359,Mobile,6,3322,19932
1280,Mobile,8,3617,28936
1396,Laptop,7,1045,7315
1137,TV,6,1552,9312
1250,Shoes,9,4210,37890
1363,Laptop,2,4289,8578
1055,TV,10,2915,29150
1331,Shoes,1,4546,4546
1191,Laptop,6,4581,27486
1291,Shoes,7,3678,25746
1314,TV,7,1223,8561
1026,Laptop,1,3390,3390
1233,Shoes,1,3101,3101
1048,Mobile,10,1057,10570
1255,Mobile,5,3687,18435
1336,Shoes,1,4030,4030
1118,Laptop,2,1833,3666
1037,Shoes,7,1752,12264
1222,Laptop,10,1174,11740
1219,TV,7,3900,27300
1146,Shoes,9,571,5139
1328,TV,1,2005,2005
1091,Shoes,4,1994,7976
1072,Laptop,10,4749,47490
1194,Mobile,1,4291,4291
1147,TV,1,3154,3154
1351,TV,8,1568,12544
1151,Laptop,10,1074,10740
1332,Mobile,10,4141,41410
1282,Laptop,8,1811,14488
1261,Shoes,6,820,4920
1247,Mobile,4,3212,12848
1334,Mobile,1,2731,2731
1296,Mobile,7,913,6391
1367,TV,10,2079,20790
1337,Laptop,3,4432,13296
1332,Laptop,4,3432,13728
1222,Mobile,10,3384,33840
1488,Shoes,6,682,4092
1448,Laptop,10,811,8110
1223,TV,9,1963,17667
1182,TV,5,989,4945
1170,Shoes,1,3571,3571
1387,Laptop,3,4146,12438
1230,Mobile,6,534,3204
1336,TV,4,1134,4536
1218,TV,2,4374,8748
1422,Laptop,5,4057,20285
1216,TV,3,690,2070
1427,Laptop,8,2871,22968
1211,Laptop,5,2856,14280
1388,Laptop,7,2255,15785
1497,Laptop,3,4385,13155
1202,TV,8,3544,28352
1494,Laptop,9,2521,22689
1306,Mobile,9,4466,40194
1268,Shoes,2,3772,7544
1383,Laptop,8,1822,14576
1316,Mobile,10,4836,48360
1301,Laptop,7,4598,32186
1364,Shoes,9,2572,23148
1293,Mobile,1,1705,1705
1490,Mobile,7,3813,26691
1452,Shoes,3,2782,8346
1100,TV,9,4976,44784
1201,Mobile,8,3563,28504
1410,Shoes,1,3791,3791
1283,Mobile,7,1213,8491
1415,Shoes,3,3334,10002
1430,Laptop,5,544,2720
1071,Mobile,4,3950,15800
1149,TV,4,579,2316
1039,TV,4,2129,8516
1489,Laptop,8,1343,10744
1476,TV,10,3779,37790
1193,Laptop,4,3040,12160
1272,Laptop,6,1463,8778
1082,Laptop,9,1592,14328
1136,Laptop,10,1384,13840
1394,Laptop,1,4346,4346
1197,TV,5,1427,7135
1471,Mobile,9,808,7272
1158,Laptop,10,1312,13120
1210,Shoes,10,1999,19990
1481,TV,4,3943,15772
1199,TV,7,2488,17416
1458,Laptop,1,2741,2741
1177,Laptop,1,2734,2734
1228,Mobile,10,1969,19690
1130,TV,9,1647,14823
1139,TV,8,3691,29528
1494,Mobile,7,3012,21084
1047,Laptop,7,2829,19803
1114,Mobile,7,1115,7805
1001,Mobile,3,1745,5235
1202,Shoes,9,3855,34695
1288,Laptop,10,1820,18200
1457,TV,6,2766,16596
1125,Mobile,5,2783,13915
1121,TV,3,1273,3819
1269,Laptop,1,4079,4079
1318,Shoes,3,2580,7740
1395,Mobile,10,961,9610
1100,Shoes,7,2109,14763
1442,Shoes,7,1257,8799
1398,TV,1,1013,1013
1250,Shoes,3,1227,3681
1170,Laptop,10,1306,13060
1404,Shoes,7,4744,33208
1064,Mobile,5,511,2555
1207,TV,5,2431,12155
1015,Laptop,8,3402,27216
1276,Shoes,4,1233,4932
1178,Shoes,2,610,1220
1128,Shoes,5,3350,16750
1237,TV,8,3577,28616
1047,Laptop,2,845,1690
1183,Laptop,8,3599,28792
1402,TV,6,4358,26148
1382,TV,9,2853,25677
1102,Shoes,1,1015,1015
1473,Mobile,6,972,5832
1053,Shoes,9,2767,24903
1340,Laptop,5,1157,5785
1011,Laptop,2,2818,5636
1205,Shoes,8,920,7360
1406,TV,5,2758,13790
1087,Laptop,2,2625,5250
1308,Mobile,6,2073,12438
1128,Laptop,10,3709,37090
1423,Shoes,10,2827,28270
1415,Laptop,6,2500,15000
1334,Shoes,9,2431,21879
1229,TV,9,1438,12942
1460,Mobile,4,4528,18112
1302,Laptop,1,1961,1961
1473,TV,9,1587,14283
1229,Shoes,7,2472,17304
1448,Mobile,4,4149,16596
1492,Mobile,1,1500,1500
1147,TV,8,2172,17376
1139,TV,9,2810,25290
1460,Laptop,5,1486,7430
1148,Laptop,8,1915,15320
1330,Mobile,7,3945,27615
1302,Mobile,5,4389,21945
1338,Shoes,3,1424,4272
1156,Shoes,8,4859,38872
1016,Laptop,9,1829,16461
1325,Laptop,2,2773,5546
1135,TV,6,3612,21672
1465,TV,4,3629,14516
1184,Shoes,1,866,866
1165,Laptop,1,3171,3171
1372,Laptop,6,1677,10062
1247,Mobile,3,3850,11550
1328,TV,2,4022,8044
1487,Shoes,10,2359,23590
1458,Shoes,2,1006,2012
